Legend: * - primary entry
        age - seconds since last seen
        n/a - not available

  vlan   mac address     type    learn     age              ports
   608  7446.a073.e230   dynamic  Yes       1740   Po5
   608  0060.4822.0825   dynamic  Yes        840   Po5
   602  0021.5a9b.1a4c   dynamic  Yes       1320   Po5
   608  d0bf.9cf6.923c   dynamic  Yes       1740   Po5
   645  0001.4e02.e414   dynamic  Yes       1080   Po5
   628  0050.5683.2e88   dynamic  Yes        840   Po5
   680  0050.568b.d653   dynamic  Yes       1740   Po5
   627  9c1d.36dc.f0cf   dynamic  Yes       1440   Po5
   629  0050.5663.e104   dynamic  Yes        120   Po5
   608  000e.b60c.8e06   dynamic  Yes       1740   Po5
   602  0021.5a9b.2838   dynamic  Yes       1320   Po5
   645  0050.56b7.338a   dynamic  Yes       1380   Po5
   602  0021.5a9b.0d98   dynamic  Yes       1320   Po5
   609  0050.566b.1fc0   dynamic  Yes        360   Po5
   608  5820.b154.6c3c   dynamic  Yes       1740   Po5
   645  0050.56b7.49ce   dynamic  Yes        120   Po5
   645  0050.56b7.856e   dynamic  Yes       1680   Po5
   609  0050.566a.4d07   dynamic  Yes       1020   Po5
   608  6451.061d.88a2   dynamic  Yes       1740   Po5
   602  0021.5a9b.0e6c   dynamic  Yes       1320   Po5
   608  00e0.4b3e.8d37   dynamic  Yes        180   Po5
   602  0021.5a9b.0612   dynamic  Yes       1320   Po5
   665  acf2.c511.114a   dynamic  Yes          0   Gi3/2
   645  0050.56b7.4817   dynamic  Yes        360   Po5
   602  0021.5a9b.1a8c   dynamic  Yes       1320   Po5
   606  6805.cab9.2600   dynamic  Yes       1080   Po5
     4  002a.6a8b.19c2   dynamic  Yes          0   Po5
   608  101f.7478.fe86   dynamic  Yes       1740   Po5
   602  0021.5a9b.0656   dynamic  Yes       1320   Po5
   531  0021.5a9b.00b6   dynamic  Yes        300   Po5
   608  0010.e0bf.5292   dynamic  Yes       1680   Po5
   606  0001.4e02.e2c4   dynamic  Yes       1080   Po5
   601  a4bf.016b.8fa1   dynamic  Yes       1260   Po5
   629  0050.566a.8d80   dynamic  Yes        120   Po5
   608  000e.b675.b46e   dynamic  Yes       1740   Po5
   602  0021.5a9b.1f4a   dynamic  Yes       1320   Po5
   606  0050.5683.619d   dynamic  Yes        840   Po5
   645  0050.56b7.4be0   dynamic  Yes       1500   Po5
   608  d0bf.9cf6.0dd8   dynamic  Yes       1740   Po5
   500  002a.6ab7.86c1   dynamic  Yes          0   Po5
   693  0021.f6a4.fef0   dynamic  Yes       1500   Po5
   645  0050.56b7.7465   dynamic  Yes        720   Po5
   645  0050.56b7.f4a2   dynamic  Yes        900   Po5
   608  f402.70b0.dcec   dynamic  Yes        720   Po5
   608  0cc4.7a79.ce35   dynamic  Yes        600   Po5
   645  0050.56b7.b753   dynamic  Yes        300   Po5
   602  0021.5a9b.1a40   dynamic  Yes       1320   Po5
   608  00e0.4b49.3926   dynamic  Yes         60   Po5
   645  0021.5a9b.1076   dynamic  Yes       1140   Po5
   606  0050.5683.4743   dynamic  Yes        840   Po5
   603  0010.e0e9.2abd   dynamic  Yes        180   Po5
   602  0050.5683.4359   dynamic  Yes        180   Po5
   645  0050.56b7.771c   dynamic  Yes       1140   Po5
   606  0021.f60b.b5a3   dynamic  Yes        960   Po5
   608  f402.70b0.dd76   dynamic  Yes        300   Po5
   608  b4a9.fc42.439e   dynamic  Yes        120   Po5
   629  0050.5661.3c26   dynamic  Yes        720   Po5
   645  506b.8dd1.bf56   dynamic  Yes        540   Po5
   602  0021.5a9b.283c   dynamic  Yes       1320   Po5
   629  0050.5660.f7b2   dynamic  Yes        720   Po5
   602  0021.5a9b.0616   dynamic  Yes       1320   Po5
   645  0050.56b7.14cc   dynamic  Yes        420   Po5
   584  0050.56b7.5462   dynamic  Yes         60   Po5
   601  a4bf.016a.8e2a   dynamic  Yes       1260   Po5
   680  0050.568b.2646   dynamic  Yes        420   Po5
   606  0021.f6c4.62c3   dynamic  Yes        840   Po5
   609  0050.5667.67b5   dynamic  Yes         60   Po5
   609  0050.566b.58e6   dynamic  Yes        660   Po5
   602  0021.5a9b.0652   dynamic  Yes       1320   Po5
   608  6451.061d.5ab4   dynamic  Yes       1740   Po5
   645  0050.56b7.f95b   dynamic  Yes       1260   Po5
   665  78e3.b51d.acf4   dynamic  Yes         60   Po5
   601  0021.5a9b.031c   dynamic  Yes       1080   Po5
   645  0021.5a9b.1070   dynamic  Yes       1320   Po5
     4  0050.5683.377b   dynamic  Yes       1500   Po5
   602  0021.5a9b.1f4e   dynamic  Yes       1320   Po5
   602  0021.5a9b.0afc   dynamic  Yes       1320   Po5
   629  0050.5664.4df1   dynamic  Yes        420   Po5
   601  0021.5a9b.226c   dynamic  Yes       1440   Po5
   645  0050.56b7.6ad2   dynamic  Yes       1020   Po5
   674  506b.8df5.9bed   dynamic  Yes        360   Po5
   601  0050.5683.bb3a   dynamic  Yes        840   Po5
   606  001b.782a.5bf8   dynamic  Yes       1440   Po5
     4  0050.5683.004e   dynamic  Yes        720   Po5
   606  0050.5683.18e7   dynamic  Yes       1620   Po5
   632  0004.0df9.0a9b   dynamic  Yes        540   Po5
   601  0050.5683.eb86   dynamic  Yes         60   Po5
   531  a400.e2c5.dfc3   dynamic  Yes        240   Po5
   609  0050.566d.2205   dynamic  Yes        780   Po5
   608  0000.0c9f.f00a   dynamic  Yes         60   Po5
     4  0050.5683.265e   dynamic  Yes       1620   Po5
   602  0021.5a9b.069e   dynamic  Yes       1320   Po5
   645  0050.56b7.1230   dynamic  Yes       1380   Po5
   608  5820.b154.6c7e   dynamic  Yes       1740   Po5
   645  0050.56b7.edb8   dynamic  Yes        960   Po5
   602  0021.5a9b.1a44   dynamic  Yes       1320   Po5
   606  506b.8d05.e94b   dynamic  Yes       1740   Po5
   601  0021.5a9b.05ba   dynamic  Yes       1440   Po5
   608  7446.a073.14c6   dynamic  Yes       1740   Po5
   645  0050.56b7.f902   dynamic  Yes       1200   Po5
   645  90e2.ba7c.0f94   dynamic  Yes       1140   Po5
   645  0050.56b7.911d   dynamic  Yes         60   Po5
   625  0050.5683.a9b0   dynamic  Yes       1380   Po5
   608  6451.061d.b7f0   dynamic  Yes       1740   Po5
   608  d0bf.9cf6.fb66   dynamic  Yes       1740   Po5
   680  0050.568b.7440   dynamic  Yes       1440   Po5
   601  0021.5a9b.0300   dynamic  Yes        780   Po5
   606  0050.5683.d9e2   dynamic  Yes       1680   Po5
   606  0050.5683.c160   dynamic  Yes       1500   Po5
   608  c8cb.b8a5.1d5a   dynamic  Yes       1740   Po5
   628  0050.5683.9198   dynamic  Yes       1020   Po5
   606  9cdc.71d3.9a50   dynamic  Yes       1080   Po5
   586  0050.56b7.2c16   dynamic  Yes       1320   Po5
     4  002a.6ab7.86c2   dynamic  Yes          0   Po5
   608  f402.70b0.dd6a   dynamic  Yes        360   Po5
   602  0021.5a9b.2820   dynamic  Yes       1320   Po5
   602  0021.5a9b.0682   dynamic  Yes       1320   Po5
   608  001c.7f42.7060   dynamic  Yes        240   Po5
   645  0050.56b7.d00d   dynamic  Yes       1260   Po5
   602  0021.5a9b.1a58   dynamic  Yes       1320   Po5
   500  002a.6a8b.19c1   dynamic  Yes          0   Po5
   629  0050.5668.aea6   dynamic  Yes        720   Po5
   680  0050.568b.1913   dynamic  Yes       1740   Po5
   600  0050.5683.7354   dynamic  Yes        720   Po5
   665  3c4a.92ec.22a4   dynamic  Yes         60   Po5
   601  9cdc.71cd.05e0   dynamic  Yes       1200   Po5
   601  a4bf.016a.8c5c   dynamic  Yes       1260   Po5
   645  0021.5a9b.0556   dynamic  Yes       1380   Po5
   683  0050.568b.56c4   dynamic  Yes        300   Po5
   608  4cd9.8f10.7dbe   dynamic  Yes         60   Po5
   601  5cf3.fc3b.f512   dynamic  Yes        480   Po5
   680  0050.568b.cdbb   dynamic  Yes       1260   Po5
   601  0021.5a9b.0a2e   dynamic  Yes       1740   Po5
   602  0021.5a9b.1f52   dynamic  Yes       1320   Po5
   609  506b.8d84.ce19   dynamic  Yes        720   Po5
   602  0021.5a9b.1a1c   dynamic  Yes       1320   Po5
   601  0021.5a9b.2270   dynamic  Yes       1560   Po5
   601  246e.9624.65e2   dynamic  Yes       1380   Po5
   601  0050.5683.7a7f   dynamic  Yes        120   Po5
   608  7446.a073.f12a   dynamic  Yes       1740   Po5
   602  0021.5a9b.1a90   dynamic  Yes       1320   Po5
   680  0050.568b.4118   dynamic  Yes        420   Po5
   628  0050.5683.49dc   dynamic  Yes       1560   Po5
   531  a400.e2c5.f943   dynamic  Yes        240   Po5
   602  0021.5a9b.0e34   dynamic  Yes       1320   Po5
   608  7446.a073.1448   dynamic  Yes       1740   Po5
   680  0050.568b.000b   dynamic  Yes        240   Po5
   601  90e2.bad3.93dc   dynamic  Yes        180   Po5
   602  0021.5a9b.2824   dynamic  Yes       1320   Po5
   645  0050.56b7.0fa2   dynamic  Yes        360   Po5
   608  5820.b154.8c48   dynamic  Yes       1740   Po5
   608  000e.b670.e9e6   dynamic  Yes        720   Po5
   602  0021.5a9b.0d84   dynamic  Yes       1320   Po5
   601  001e.678c.4ce4   dynamic  Yes         60   Po5
   608  7446.a073.14c0   dynamic  Yes       1740   Po5
   608  009c.0279.363a   dynamic  Yes       1740   Po5
   609  0050.5669.882b   dynamic  Yes        660   Po5
   629  0050.566b.7d19   dynamic  Yes        420   Po5
   602  0050.5683.00b2   dynamic  Yes       1380   Po5
   645  0050.56b7.7986   dynamic  Yes        960   Po5
   608  6451.061d.5aae   dynamic  Yes       1740   Po5
   608  00e0.4b66.86d9   dynamic  Yes         60   Po5
   601  001e.678c.4ce7   dynamic  Yes         60   Po5
   645  0021.5a9b.25f8   dynamic  Yes       1620   Po5
   601  0050.5683.b5a2   dynamic  Yes       1320   Po5
   643  001e.67ac.1360   dynamic  Yes          0   Po5
   645  0021.5a9b.0e52   dynamic  Yes        360   Po5
   606  506b.8dd0.0b78   dynamic  Yes       1740   Po5
   680  0050.568b.76a5   dynamic  Yes        480   Po5
   645  0050.56b7.13b4   dynamic  Yes       1080   Po5
   606  0050.5683.4306   dynamic  Yes       1380   Po5
   632  ccf9.54ac.8b3c   dynamic  Yes       1560   Po5
   645  0050.56b7.c0b1   dynamic  Yes        240   Po5
   601  0021.5a9b.038c   dynamic  Yes       1020   Po5
   608  7446.a073.f1a2   dynamic  Yes       1740   Po5
   645  0050.56b7.2ed3   dynamic  Yes        960   Po5
   614  0050.5683.7d1e   dynamic  Yes       1560   Po5
   680  0050.568b.8d30   dynamic  Yes        900   Po5
   601  001e.678c.4ce6   dynamic  Yes         60   Po5
   643  001e.67ac.1361   dynamic  Yes         60   Po5
   608  d022.12b0.2fa1   dynamic  Yes       1740   Po5
   679  002a.6ab7.86c1   dynamic  Yes          0   Po5
   602  0021.5a9b.0e38   dynamic  Yes       1320   Po5
   601  0021.5a9b.27be   dynamic  Yes        480   Po5
   602  0021.5a9b.1a9c   dynamic  Yes       1320   Po5
   609  0050.5666.464a   dynamic  Yes        240   Po5
   645  0050.56b7.4343   dynamic  Yes        180   Po5
   608  6451.061d.2748   dynamic  Yes       1740   Po5
   645  506b.8dd0.a71c   dynamic  Yes        180   Po5
   602  0021.5a9b.0fe0   dynamic  Yes       1320   Po5
   629  0050.566d.6d0b   dynamic  Yes        120   Po5
   608  0021.5a04.3c51   dynamic  Yes       1740   Po5
   608  0060.1683.c26d   dynamic  Yes       1080   Po5
   603  0050.5683.457d   dynamic  Yes         60   Po5
   645  0050.56b7.071f   dynamic  Yes        180   Po5
   601  001b.782a.3e0e   dynamic  Yes       1440   Po5
   601  0021.5a9b.1968   dynamic  Yes        360   Po5
   608  78ac.c0ff.1aec   dynamic  Yes       1740   Po5
   601  ac16.2dba.15a8   dynamic  Yes        300   Po5
   629  0050.566a.da80   dynamic  Yes        120   Po5
   602  0021.5a9b.2828   dynamic  Yes       1320   Po5
   694  d867.d970.84c2   dynamic  Yes          0   Po5
   608  c8cb.b8a5.1d9c   dynamic  Yes       1740   Po5
   600  acb3.b58e.e72c   dynamic  Yes       1140   Po5
   600  0050.5683.068c   dynamic  Yes        660   Po5
   606  5cb9.01cf.7330   dynamic  Yes        960   Po5
   645  0050.56b7.8b74   dynamic  Yes        960   Po5
   632  0004.0df8.09e0   dynamic  Yes        540   Po5
   603  0050.5683.803f   dynamic  Yes       1260   Po5
   619  0050.56a7.2323   dynamic  Yes        540   Po5
   645  0050.56b7.0ae3   dynamic  Yes        960   Po5
   608  d0bf.9cf6.d2ea   dynamic  Yes       1740   Po5
   632  2880.23ab.8dfc   dynamic  Yes       1740   Po5
   680  0050.568b.8c6e   dynamic  Yes          0   Po5
   608  009c.0279.5612   dynamic  Yes       1740   Po5
   603  0010.e00d.5215   dynamic  Yes        720   Po5
   602  0021.5a9b.223c   dynamic  Yes       1380   Po5
   645  0050.56b7.f5e1   dynamic  Yes        900   Po5
   673  002a.6ab7.86c2   dynamic  Yes          0   Po5
   672  002a.6ab7.86c2   dynamic  Yes          0   Po5
   690  002a.6ab7.86c2   dynamic  Yes          0   Po5
   602  0021.5a9b.0ae8   dynamic  Yes       1320   Po5
   694  002a.6ab7.86c2   dynamic  Yes          0   Po5
   692  002a.6ab7.86c2   dynamic  Yes          0   Po5
   693  002a.6ab7.86c2   dynamic  Yes          0   Po5
   649  002a.6ab7.86c2   dynamic  Yes          0   Po5
   648  002a.6ab7.86c2   dynamic  Yes          0   Po5
   608  00e0.4b66.b16a   dynamic  Yes         60   Po5
   651  002a.6ab7.86c2   dynamic  Yes          0   Po5
   653  002a.6ab7.86c2   dynamic  Yes          0   Po5
   652  002a.6ab7.86c2   dynamic  Yes          0   Po5
   655  002a.6ab7.86c2   dynamic  Yes          0   Po5
   654  002a.6ab7.86c2   dynamic  Yes          0   Po5
   608  441e.a178.4748   dynamic  Yes       1740   Po5
   640  002a.6ab7.86c2   dynamic  Yes          0   Po5
   643  002a.6ab7.86c2   dynamic  Yes          0   Po5
   642  002a.6ab7.86c2   dynamic  Yes          0   Po5
   645  002a.6ab7.86c2   dynamic  Yes          0   Po5
   644  002a.6ab7.86c2   dynamic  Yes          0   Po5
   647  002a.6ab7.86c2   dynamic  Yes          0   Po5
   646  002a.6ab7.86c2   dynamic  Yes          0   Po5
   664  002a.6ab7.86c2   dynamic  Yes          0   Po5
   665  002a.6ab7.86c2   dynamic  Yes          0   Po5
   667  002a.6ab7.86c2   dynamic  Yes          0   Po5
   645  90e2.ba7c.0d38   dynamic  Yes       1140   Po5
   668  002a.6ab7.86c2   dynamic  Yes          0   Po5
   633  0050.5683.64c3   dynamic  Yes        840   Po5
   669  002a.6ab7.86c2   dynamic  Yes          0   Po5
   670  002a.6ab7.86c2   dynamic  Yes          0   Po5
   671  002a.6ab7.86c2   dynamic  Yes          0   Po5
   656  002a.6ab7.86c2   dynamic  Yes          0   Po5
   657  002a.6ab7.86c2   dynamic  Yes          0   Po5
   658  002a.6ab7.86c2   dynamic  Yes          0   Po5
   663  002a.6ab7.86c2   dynamic  Yes          0   Po5
   606  0021.f69b.6cda   dynamic  Yes       1740   Po5
   602  0021.5a9b.1a98   dynamic  Yes       1320   Po5
   608  f402.709f.6c40   dynamic  Yes       1680   Po5
   645  0050.56b7.26a6   dynamic  Yes        480   Po5
   601  0021.5a9b.27ba   dynamic  Yes       1560   Po5
   628  0050.5683.f98a   dynamic  Yes        840   Po5
   600  0050.5683.5f5c   dynamic  Yes        420   Po5
   608  f402.70da.a300   dynamic  Yes        720   Po5
   602  0021.5a9b.282c   dynamic  Yes       1320   Po5
   632  001b.4f35.808b   dynamic  Yes        900   Po5
   608  7446.a073.f1a8   dynamic  Yes       1740   Po5
   609  0050.5666.a145   dynamic  Yes        840   Po5
   606  6c3b.e5c0.7bb4   dynamic  Yes        960   Po5
   685  0050.568b.624e   dynamic  Yes        780   Po5
   602  0021.5a9b.0d8c   dynamic  Yes       1320   Po5
   608  7446.a073.f166   dynamic  Yes       1740   Po5
   645  0050.56b7.62fb   dynamic  Yes        480   Po5
   608  0023.7dfa.48ac   dynamic  Yes       1740   Po5
   609  0050.566c.1916   dynamic  Yes       1320   Po5
   683  0050.5688.8790   dynamic  Yes        540   Po5
   608  8894.71a8.25b9   dynamic  Yes       1740   Po5
   606  0021.5aef.eb7c   dynamic  Yes        840   Po5
   629  0050.566d.367f   dynamic  Yes        840   Po5
   601  0050.5683.324a   dynamic  Yes       1620   Po5
   602  0021.5a9b.0aec   dynamic  Yes       1320   Po5
   628  0050.5683.2106   dynamic  Yes       1200   Po5
   608  5820.b154.8c42   dynamic  Yes       1740   Po5
   633  0004.0df8.256b   dynamic  Yes          0   Po5
   609  0050.5669.5701   dynamic  Yes        480   Po5
   602  0021.5a9b.06ca   dynamic  Yes       1320   Po5
   608  6451.061d.1718   dynamic  Yes       1740   Po5
   655  0021.5a9b.1bac   dynamic  Yes        420   Po5
   608  c8cb.b8a5.1d54   dynamic  Yes        180   Po5
   629  0050.566c.2436   dynamic  Yes       1560   Po5
   645  0050.56b7.2bd0   dynamic  Yes        780   Po5
   645  0050.56b7.2861   dynamic  Yes        720   Po5
   604  002a.6a8b.19c2   dynamic  Yes          0   Po5
   605  002a.6a8b.19c2   dynamic  Yes          0   Po5
   606  002a.6a8b.19c2   dynamic  Yes          0   Po5
   607  002a.6a8b.19c2   dynamic  Yes          0   Po5
   600  002a.6a8b.19c2   dynamic  Yes          0   Po5
   601  002a.6a8b.19c2   dynamic  Yes          0   Po5
   602  002a.6a8b.19c2   dynamic  Yes          0   Po5
   603  002a.6a8b.19c2   dynamic  Yes          0   Po5
   602  0021.5a9b.1a2c   dynamic  Yes       1320   Po5
   609  0050.5665.1043   dynamic  Yes       1620   Po5
   602  0021.5a9b.2240   dynamic  Yes       1320   Po5
   608  00e0.4b50.040f   dynamic  Yes        120   Po5
   628  002a.6a8b.19c2   dynamic  Yes          0   Po5
   629  002a.6a8b.19c2   dynamic  Yes          0   Po5
   606  0050.5683.6ab4   dynamic  Yes        840   Po5
   625  002a.6a8b.19c2   dynamic  Yes          0   Po5
     4  0050.5683.35b5   dynamic  Yes        420   Po5
   636  002a.6a8b.19c2   dynamic  Yes          0   Po5
   637  002a.6a8b.19c2   dynamic  Yes          0   Po5
   632  002a.6a8b.19c2   dynamic  Yes          0   Po5
   633  002a.6a8b.19c2   dynamic  Yes          0   Po5
   500  64ae.0c40.47c0   dynamic  Yes          0   Po5
   602  0021.5a9b.0b08   dynamic  Yes       1320   Po5
   610  002a.6a8b.19c2   dynamic  Yes          0   Po5
   609  002a.6a8b.19c2   dynamic  Yes          0   Po5
   608  002a.6a8b.19c2   dynamic  Yes          0   Po5
   608  0023.7dfa.98e8   dynamic  Yes       1740   Po5
   606  0050.5683.2352   dynamic  Yes       1380   Po5
   645  0001.4e02.f109   dynamic  Yes       1080   Po5
   606  0001.4e02.f5fb   dynamic  Yes       1320   Po5
   609  0050.566e.cb1c   dynamic  Yes       1320   Po5
   602  0021.5a9b.1a68   dynamic  Yes       1320   Po5
   601  a4bf.016b.917d   dynamic  Yes       1260   Po5
   601  1060.4bb4.6ac0   dynamic  Yes       1200   Po5
   602  0021.5a9b.103a   dynamic  Yes       1320   Po5
   608  94f1.2894.f3d2   dynamic  Yes       1740   Po5
   645  0021.5a9b.2768   dynamic  Yes        300   Po5
   601  0021.5a9b.1f60   dynamic  Yes       1200   Po5
   606  0021.f6e2.8ad1   dynamic  Yes       1560   Po5
   602  0021.5a9b.2810   dynamic  Yes       1320   Po5
   645  90e2.ba7f.1f6c   dynamic  Yes       1140   Po5
   645  0021.5a9b.0c0c   dynamic  Yes       1380   Po5
   608  00e0.81e4.010a   dynamic  Yes        780   Po5
   645  0021.5a9b.0748   dynamic  Yes        900   Po5
   609  0050.5661.22fd   dynamic  Yes         60   Po5
   602  0021.5a9b.067e   dynamic  Yes       1320   Po5
   601  0021.5a9b.12da   dynamic  Yes         60   Po5
   606  0050.5683.e285   dynamic  Yes        840   Po5
   601  ac16.2dab.4cb8   dynamic  Yes        540   Po5
   602  0021.5a9b.0fd8   dynamic  Yes       1320   Po5
   608  6451.061d.d72a   dynamic  Yes       1740   Po5
   601  a4bf.016a.8bc2   dynamic  Yes       1200   Po5
   645  0021.5a9b.105c   dynamic  Yes        360   Po5
   645  0050.56b7.0dfe   dynamic  Yes       1380   Po5
   608  002a.6a8b.19c1   dynamic  Yes         60   Po5
   680  0050.568b.e7bf   dynamic  Yes        900   Po5
   602  0021.5a9b.1a28   dynamic  Yes       1320   Po5
   602  0021.5a9b.2244   dynamic  Yes       1320   Po5
   608  ac1f.6b7a.686a   dynamic  Yes       1020   Po5
   674  506b.8dc7.b3de   dynamic  Yes       1020   Po5
   608  94f1.2894.8578   dynamic  Yes       1740   Po5
   608  0010.e03b.5964   dynamic  Yes        720   Po5
   609  0050.566a.84c7   dynamic  Yes       1620   Po5
   645  0021.5a9b.074e   dynamic  Yes       1380   Po5
   602  0021.5a9b.0d78   dynamic  Yes       1320   Po5
   601  782b.cb5f.1081   dynamic  Yes        780   Po5
